"doctor_id","first_name","last_name","specialization_id","department_id","phone_number","email","address"
1,"John","Doe",1,1,"123-456-7890","john.doe@example.com","123 Main St"
2,"Jane","Smith",2,2,"234-567-8901","jane.smith@example.com","456 Elm St"
3,"Alice","Johnson",3,3,"345-678-9012","alice.johnson@example.com","789 Oak St"
4,"Robert","Brown",4,4,"456-789-0123","robert.brown@example.com","101 Pine St"
5,"Emily","Davis",5,5,"567-890-1234","emily.davis@example.com","202 Maple St"
6,"Michael","Wilson",6,6,"678-901-2345","michael.wilson@example.com","303 Birch St"
7,"Olivia","Miller",7,7,"789-012-3456","olivia.miller@example.com","404 Cedar St"
8,"James","Taylor",8,8,"890-123-4567","james.taylor@example.com","505 Spruce St"
9,"Sophia","Anderson",9,9,"901-234-5678","sophia.anderson@example.com","606 Fir St"
10,"William","Thomas",10,10,"012-345-6789","william.thomas@example.com","707 Walnut St"
