"patient_id","first_name","last_name","dob","gender","phone_number","email","address"
1,"Robert","Brown","1970-03-15","M","456-789-0123","robert.brown@example.com","101 Pine St"
2,"Emily","Davis","1982-07-24","F","567-890-1234","emily.davis@example.com","202 Maple St"
3,"Michael","Wilson","1990-11-30","M","678-901-2345","michael.wilson@example.com","303 Birch St"
4,"Olivia","Miller","1985-06-12","F","789-012-3456","olivia.miller@example.com","404 Cedar St"
5,"James","Taylor","1978-04-22","M","890-123-4567","james.taylor@example.com","505 Spruce St"
6,"Sophia","Anderson","1995-09-05","F","901-234-5678","sophia.anderson@example.com","606 Fir St"
7,"William","Thomas","1989-01-17","M","012-345-6789","william.thomas@example.com","707 Walnut St"
8,"Ava","Martinez","2000-12-23","F","123-456-7891","ava.martinez@example.com","808 Chestnut St"
9,"Liam","Jackson","1975-02-11","M","234-567-8902","liam.jackson@example.com","909 Pineapple St"
10,"Isabella","White","1988-07-09","F","345-678-9013","isabella.white@example.com","1010 Mango St"
